title,url,price,image_url,category,gender
Très Vivier crystal-buckle leopard-print flats,https://www.matchesfashion.com/products/Roger-Vivier-Tr%C3%A8s-Vivier-crystal-buckle-leopard-print-flats-1553944,990.0,https://assetsprx.matchesfashion.com/img/1553944/1/920.jpg,['Flats'],WOMENS
Tres Vivier crystal-buckle patent-leather flats,https://www.matchesfashion.com/products/Roger-Vivier-Tres-Vivier-crystal-buckle-patent-leather-flats-1553943,990.0,https://assetsprx.matchesfashion.com/img/1553943/1/920.jpg,['Flats'],WOMENS
Dora 95 leather wedge sandals,https://www.matchesfashion.com/products/Gucci-Dora-95-leather-wedge-sandals-1548947,865.0,https://assetsprx.matchesfashion.com/img/1548947/1/920.jpg,"['Sandals', 'Heels']",WOMENS
Wedge 100 wooden-heel patent-leather mules,https://www.matchesfashion.com/products/ALA%C3%8FA-Wedge-100-wooden-heel-patent-leather-mules-1546369,1760.0,https://assetsprx.matchesfashion.com/img/1546369/1/920.jpg,['Heels'],WOMENS
Dora 95mm leather sandals,https://www.matchesfashion.com/products/Gucci-Dora-95mm-leather-sandals-1548946,865.0,https://assetsprx.matchesfashion.com/img/1548946/1/920.jpg,"['Sandals', 'Heels']",WOMENS
Wedge 100 plexiglass-heel fishnet boots,https://www.matchesfashion.com/products/ALA%C3%8FA-Wedge-100-plexiglass-heel-fishnet-boots-1546370,1410.0,https://assetsprx.matchesfashion.com/img/1546370/1/920.jpg,['Boots'],WOMENS
Monsieur leather loafers,https://www.matchesfashion.com/products/Bottega-Veneta-Monsieur-leather-loafers-1500789,860.0,https://assetsprx.matchesfashion.com/img/1500789/1/920.jpg,['Flats'],WOMENS
Horsebit GG-debossed leather loafers,https://www.matchesfashion.com/products/Gucci-Horsebit-GG-debossed-leather-loafers-1548962,810.0,https://assetsprx.matchesfashion.com/img/1548962/1/920.jpg,['Flats'],WOMENS
Monsieur 30 leather backless loafers,https://www.matchesfashion.com/products/Bottega-Veneta-Monsieur-30-leather-backless-loafers-1526346,790.0,https://assetsprx.matchesfashion.com/img/1526346/1/920.jpg,['Flats'],WOMENS
One Stud leather chunky loafers,https://www.matchesfashion.com/products/Valentino-Garavani-One-Stud-leather-chunky-loafers-1541118,880.0,https://assetsprx.matchesfashion.com/img/1541118/1/920.jpg,['Flats'],WOMENS
Leather knee-high boots,https://www.matchesfashion.com/products/Bottega-Veneta-Leather-knee-high-boots-1556358,1480.0,https://assetsprx.matchesfashion.com/img/1556358/1/920.jpg,['Boots'],WOMENS
Jay 50 detachable-cuff leather boots,https://www.matchesfashion.com/products/Ann-Demeulemeester-Jay-50-detachable-cuff-leather-boots-1553487,1575.0,https://assetsprx.matchesfashion.com/img/1553487/1/920.jpg,['Boots'],WOMENS
One Stud 30 faux-leather knee-high boots,https://www.matchesfashion.com/products/Valentino-Garavani-One-Stud-30-faux-leather-knee-high-boots-1541126,1680.0,https://assetsprx.matchesfashion.com/img/1541126/1/920.jpg,['Boots'],WOMENS
Nes leather knee-high boots,https://www.matchesfashion.com/products/Ann-Demeulemeester-Nes-leather-knee-high-boots-1553488,1400.0,https://assetsprx.matchesfashion.com/img/1553488/1/920.jpg,['Boots'],WOMENS
Sofia 70 leather pumps,https://www.matchesfashion.com/products/Gabriela-Hearst-Sofia-70-leather-pumps-1551617,860.0,https://assetsprx.matchesfashion.com/img/1551617/1/920.jpg,['Heels'],WOMENS
Comic 90 lacquered-foam pumps,https://www.matchesfashion.com/products/LOEWE-Comic-90-lacquered-foam-pumps-1524884,595.0,https://assetsprx.matchesfashion.com/img/1524884/1/920.jpg,['Heels'],WOMENS
Pumppie 85 patent-leather pumps,https://www.matchesfashion.com/products/Christian-Louboutin-Pumppie-85-patent-leather-pumps-1549104,690.0,https://assetsprx.matchesfashion.com/img/1549104/1/920.jpg,['Heels'],WOMENS
Toy 90 leather bow pumps,https://www.matchesfashion.com/products/LOEWE-Toy-90-leather-bow-pumps-1551985,1000.0,https://assetsprx.matchesfashion.com/img/1551985/1/920.jpg,['Heels'],WOMENS
